to,20150513,20150520,20150527,20150610,20150617,20150624,20150701,20150708,20150715,20150722,20150729,20150805,20150812,20150819
Achham,206.34351921209205,272.09614227000947,1619.4163512094035,8843.29553182291,10351.359750031017,677.1544361800602,870.3843347383328,1184.495064721909,99.58299975034687,-166.15788462847132,-600.398449851886,239.84191475929157,1659.6331817269302,1575.5345294812732
Arghakhanchi,577.6763727497364,3147.1541891128686,5752.636251337335,4967.788489490268,5241.819601199899,6641.3860676713775,5754.286550937812,4340.59740149743,4096.448305770955,4752.531437203041,3364.3690041008686,2968.919753446266,3604.7244336470894,4292.435529871759
Baglung,2100.988706499665,1651.8819917073624,3036.775305181218,1684.7970486729164,1892.7949385367885,1505.942769330531,1635.4955773093943,2549.826491899606,3128.885778562829,3023.4212286490156,3422.2866370491643,2615.7194243538856,2632.666739535218,2611.26825556081
Baitadi,-0.03935410689490304,215.00299384810236,823.1020574888939,368.4940318402626,-510.14364280077166,-312.7988348728654,-810.9587803270831,-58.601385162109054,-274.8715812850518,161.7506951901013,1006.2596872720775,1683.6419230206325,2801.539926180562,1740.9740406976453
Bajhang,331.2176678553093,434.118407155674,264.24785549115916,145.8251735178474,20.1403752948081,-48.99190127572528,-216.56624310745877,-124.20212541248529,5.606219767945318,151.07114676314305,47.93976259955074,136.7550117832713,74.73007857375127,95.03693899688342
Bajura,174.43734782232767,221.32837398234565,308.37968845196275,193.35836742727327,235.14690054580518,503.70995467121344,61.997012373503566,438.5062341029115,350.5513570609001,257.0901009406233,224.72422273585528,580.94215853742,103.67369373023296,25.82042718325574
Banke,6116.019594594081,7542.325262059887,9669.963076609378,5395.608039914963,5833.127735984549,5270.800182106423,4198.790676239452,6309.072506083872,8299.313314174886,9360.780871631196,13979.557552737093,13714.023205194642,13644.803968906901,10396.770225434295
Bara,32075.840371551836,36117.86892623634,31122.41252013885,12796.37919358421,3714.998067129816,399.9386789852539,-1864.9916522523745,-1106.5234571884396,-427.2914696968501,8798.421991200947,3582.6031116482595,644.4587765957018,22.792317140701996,1330.2555271794754
Bardiya,4523.017811432959,5745.860767392039,5147.7523405690945,3481.39398378775,3447.4102095152366,3920.184641194558,4887.89392155723,6968.193521126043,6881.711923427606,7593.7137485037165,2756.7837287153966,2154.156040466455,1536.1599677947668,2401.1210978686804
Bhojpur,2098.097401132594,464.8803005636462,1244.5181234329566,473.315563693423,1127.8547136984519,2088.5495935952135,1014.4650939849499,1196.9499438036974,318.3746261454254,1192.5663150832338,914.5801913660589,2728.555479498175,23615.4705912872,21026.046607467626
Chitawan,9445.140179251826,11940.993528010562,13366.904286302892,11358.187759194738,17281.89944151019,17486.83403929591,20893.367027492288,20466.58419648976,21619.328174407663,23177.16690412155,27782.359567694504,27601.66118638227,24614.69665899733,24731.999956943317
Dadeldhura,-527.9323097760587,715.0431570304571,559.4156711790788,360.1303030752938,852.0905069951075,928.7680125334983,222.09618884812332,1516.9730973443975,5389.40495792575,4918.294824928988,4549.430027419995,3151.4970213761812,3393.4241762050756,4327.160657088678
Dailekh,3653.5577954196,2292.1757634904598,2043.5440119558189,3370.206958968879,2482.97194650431,1317.9569975827267,402.5754273015933,1117.199022104541,1157.6527972165688,1214.5847327784613,-336.2341638992283,878.8226744294806,1066.5426332522252,942.3954226492659
Dang,5979.771034702931,7523.468739633243,7743.393659621433,5043.8150871659645,7275.09997198837,7499.5564574640575,9530.51395707733,12702.348288072992,17276.632655578196,13486.794462973397,12172.103161519137,11068.13540001675,8975.082653898406,9353.832468469509
Darchula,-2602.1467049135013,-956.7532289103192,-1515.25038429889,-123.17460007685925,-1195.6102321790797,-1081.598809172452,-329.11656333438657,-1720.3513546308309,-786.4748341315451,-662.9753900456773,-1901.6086893914428,-1783.7985843885472,-138.61680349920346,100.44218377310376
Dhading,22002.848904613587,25194.8183902332,23256.600983349595,13175.61716478737,11717.52517546717,9903.949543672628,10769.846316771263,12999.608223254263,12832.919440295089,15413.284814843237,15698.356576307815,17031.166371787895,16278.137784789908,16162.585113922025
Dhankuta,2551.1405410779607,1839.0199522926566,1790.0196165076188,33.89924060212428,968.6214410717223,1499.748738746909,1975.1885072365021,1785.725672545186,3737.8545007305033,2931.59799329656,2639.769424968809,3160.600654646411,3131.974728488581,3032.4984436978834
Dhanusa,13613.631005031913,13792.356532745922,14243.093017801924,5607.806226329969,7145.3672586260445,1098.8112702592543,381.2542752614991,1205.7186464929814,512.5055167374326,-104.39933996950356,781.0104805997198,3492.081521656262,3384.5712893698555,3152.0524393635687
Dolakha,14511.985660841114,14250.493574300002,18602.189867144567,6488.312629666653,4764.579903530672,6622.682213714109,5078.32162869706,7434.393010934051,8766.337164128348,7690.0883215677595,5612.664701791216,3693.469634677681,3835.062827904101,3976.7643870270267
Dolpa,373.9125112912268,420.5018316207986,659.3362740411944,429.50726542466856,663.9201573371722,1050.7996889211747,571.3467769829292,1038.0749095509773,750.7595119421082,641.1337737758843,785.7153079023316,638.1850427003477,567.7239619338396,558.3623795693254
Doti,1144.1891883983967,2391.2719094207537,2094.611473390181,3103.7412027658715,2083.9750606240773,1292.8223793629302,1716.2443985208972,2416.4980671690096,3610.600724540586,739.8148972695838,1266.7813561847518,1617.5591625046231,1444.5903625614599,1889.9634161015167
Gorkha,26963.331943253266,27596.398408805562,23278.25058476463,7801.739315016387,6007.837483247913,6598.295787203088,6413.590117267994,6846.463087184025,5413.446085367117,5030.033615556211,3266.295269711785,1971.4787126143483,1098.9569668670547,1391.9899841543283
